商品代码,说明,市场价值,员工数量,板块,交易所,行业,债务股本比(MRQ),市盈率(TTM),股本回报率 (TTM),市净率(FY),aboveMa1,aboveMa2,maxChange
STKXF,"STRIKEPOINT GOLD, INC.",32393424.0,,非能源矿业,OTC,贵金属,0.0,,-119.73330834,8.87340159,-1,-1,-1
TRCK,"TRACK GROUP, INC.",31520500.0,151.0,电子科技,OTC,计算机通讯,16.89024318,5.56890151,,,42,11,1375
PTRUF,PETRUS RESOURCES LTD.,29424399.12,16.0,能源矿产,OTC,成品油,18.06715948,,-103.21752325,3.85661992,-1,-1,-1
CIBH,"CIB MARINE BANCSHARES, INC.",28839920.0,,金融,OTC,地区银行,0.2910799,5.27619914,9.44924889,0.44336427,34,0,60
EAST,EASTSIDE DISTILLING INC,27966627.0,78.0,商业服务,NASDAQ,广告/市场营销服务,0.96620565,,-104.13298369,,31,0,178
BRN,BARNWELL INDUSTRIES INC,26900250.0,43.0,能源矿产,NYSE ARCA,石油和天然气生产,-0.16521739,,-418.25264329,,94,10,947
GOTRF,GOLIATH RESOURCES LTD.,26828721.53,,其他,OTC,其他,0.0,,-254.55193956,50.64638574,-1,-1,-1
GGO,GABELLI GO ANYWHERE TRUST,25524700.0,,其他,NYSE ARCA,投资信托/互惠基金,0.0,,-11.81914064,1.16343514,53,26,87
SMOFF,SONORO GOLD CORP.,23739834.9,,非能源矿业,OTC,贵金属,0.01092525,,-172.13841699,4.60154684,75,25,189
VTYB,VICTORY BANCORP INC.,23634933.24,,金融,OTC,地区银行,1.76685884,,14.59986503,1.07766922,54,76,80
KOAN,RESONATE BLENDS INC.,23181444.0,,科技服务,OTC,IT服务,-2.48479784,,,,73,0,984
DSE,DUFF & PHELPS SELECT MLP AND MIDSTR,23011000.0,,其他,NYSE,投资信托/互惠基金,0.18951358,,-136.15933711,1.45363309,30,15,154
RHE/PA,REGIONAL HEALTH PROPERTIES INC 10.875% CUM RED PREFD STOCK USD25,22281600.0,16.0,金融,NYSE ARCA,房地产投资信托基金,8.03694382,,-5.18674014,,-1,-1,-1
NVGLF,NV GOLD CORP,20853848.63,,其他,OTC,其他,0.0,,-42.9783247,3.47409162,89,48,194
MDRRP,MEDALIST DIVERSIFIED REIT INC CUM RED PFD SER A,20669700.0,,金融,NASDAQ,房地产投资信托基金,3.46040009,,-58.2727585,11.15613889,-1,-1,-1
SRUTF,SPROUTLY CANADA INC.,19748009.5,,加工制造业,OTC,农副产品,2.21996747,,-189.43860513,6.33557522,-1,-1,-1
GMVMF,"GMV MINERALS, INC.",17345206.65,,非能源矿业,OTC,贵金属,0.0,,-23.85008387,3.72941775,97,36,135
EQMEF,EQUITY METALS CORPORATION,16863117.7,,非能源矿业,OTC,其他金属/矿物,0.0,,-168.97985216,8.16817592,-1,-1,-1
ANLDF,ANFIELD ENERGY INC.,16251100.25,5.0,非能源矿业,OTC,其他金属/矿物,-1.1461165,,,,47,1,333
NRGOF,NEWRANGE GOLD CORP.,15843758.5,,非能源矿业,OTC,贵金属,0.00245147,,-94.48664431,6.84840983,39,23,275
STRRP,STAR EQUITY HOLDINGS INC CUM PERPETUAL PFD SER A,13750100.0,636.0,健康科技,NASDAQ,医学专业,0.45722053,,-9.85769327,2.72087235,-1,-1,-1
CNFN,CFN ENTERPRISES INC.,12462660.0,5.0,商业服务,OTC,杂项商业服务,-0.68106501,,,,49,2,266
ARBTF,ARGO GOLD INC,11219957.31,,工业服务,OTC,环境服务,0.0,,-8.58533061,3.33103202,74,18,128
RKMSF,ROKMASTER RESOURCES CORP.,10898472.0,,非能源矿业,OTC,其他金属/矿物,0.0,,-185.28210304,5.38111576,-1,-1,-1
MTR,MESA ROYALTY TRUST,10752900.0,,能源矿产,NYSE,石油和天然气生产,0.0,140.04854369,3.05260878,4.15134793,20,0,93
VTLR,VIRTUALARMOUR INTERNATIONAL INC.,9181075.8,,科技服务,OTC,套装软件,-0.37634427,,,,46,8,1354
DMIFF,DIAMCOR MINING INC.,7158778.37391663,,非能源矿业,OTC,其他金属/矿物,-2.36209396,,-223.62770641,8.06838673,42,16,159
